Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[7240/8000]	[MSE: 107.5882]	53.7+2.0s
[7280/8000]	[MSE: 107.4174]	53.8+2.0s
[7320/8000]	[MSE: 107.1962]	53.8+2.0s
[7360/8000]	[MSE: 106.9778]	53.8+2.0s
[7400/8000]	[MSE: 106.8850]	53.8+2.0s
[7440/8000]	[MSE: 106.6335]	53.8+2.0s
[7480/8000]	[MSE: 106.3163]	53.8+2.0s
[7520/8000]	[MSE: 106.2508]	53.8+2.0s
[7560/8000]	[MSE: 106.0228]	53.8+2.0s
[7600/8000]	[MSE: 105.8347]	53.8+2.0s
[7640/8000]	[MSE: 105.7331]	53.8+2.0s
[7680/8000]	[MSE: 105.4188]	53.8+2.0s
[7720/8000]	[MSE: 105.3463]	53.8+2.0s
[7760/8000]	[MSE: 105.1289]	53.8+2.0s
[7800/8000]	[MSE: 105.0939]	53.8+2.0s
[7840/8000]	[MSE: 105.0690]	53.8+2.0s
[7880/8000]	[MSE: 104.8403]	53.8+2.0s
[7920/8000]	[MSE: 104.7014]	53.8+2.0s
[7960/8000]	[MSE: 104.5756]	53.8+2.0s
[8000/8000]	[MSE: 104.3441]	53.8+2.0s

Evaluation:
 10%|████▍                                       | 1/10 [00:36<05:30, 36.75s/it] 20%|████████▊                                   | 2/10 [01:12<04:50, 36.33s/it] 30%|█████████████▏                              | 3/10 [01:52<04:22, 37.46s/it] 40%|█████████████████▌                          | 4/10 [02:23<03:33, 35.54s/it] 50%|██████████████████████                      | 5/10 [03:03<03:04, 36.81s/it] 60%|██████████████████████████▍                 | 6/10 [03:38<02:25, 36.36s/it] 70%|██████████████████████████████▊             | 7/10 [04:07<01:42, 34.27s/it] 80%|███████████████████████████████████▏        | 8/10 [04:42<01:09, 34.56s/it] 90%|███████████████████████████████████████▌    | 9/10 [05:18<00:34, 34.83s/it]100%|███████████████████████████████████████████| 10/10 [05:58<00:00, 36.32s/it][DIV2K x2]	PSNR: 33.220 (Best: 33.220 @epoch 1)
Forward: 358.25s

Saving...
Total: 359.23s

[Epoch 2]	Learning rate: 1.00e-4

  0%|                                                    | 0/10 [00:00<?, ?it/s][40/8000]	[MSE: 111.1458]	53.8+1.8s
[80/8000]	[MSE: 120.3863]	53.9+2.0s
[120/8000]	[MSE: 103.6389]	53.8+2.0s
[160/8000]	[MSE: 103.1504]	53.9+2.0s
[200/8000]	[MSE: 102.7175]	53.8+2.0s
[240/8000]	[MSE: 96.1508]	53.9+2.0s
[280/8000]	[MSE: 97.4758]	53.8+2.0s
[320/8000]	[MSE: 97.7679]	53.9+2.0s
[360/8000]	[MSE: 98.8733]	53.8+2.0s
[400/8000]	[MSE: 95.8689]	53.8+2.0s
[440/8000]	[MSE: 94.7683]	53.9+2.0s
[480/8000]	[MSE: 94.0958]	53.8+2.0s
[520/8000]	[MSE: 92.6871]	53.8+2.0s
[560/8000]	[MSE: 90.1629]	53.8+2.0s
[600/8000]	[MSE: 90.3536]	53.8+2.0s
[640/8000]	[MSE: 88.4223]	53.8+2.0s
[680/8000]	[MSE: 87.5884]	53.8+2.0s
[720/8000]	[MSE: 86.9946]	53.8+2.0s
[760/8000]	[MSE: 86.7221]	53.9+2.0s
[800/8000]	[MSE: 85.2571]	53.8+2.0s
[840/8000]	[MSE: 83.9126]	53.9+2.0s
[880/8000]	[MSE: 83.3919]	53.8+2.0s
[920/8000]	[MSE: 83.2916]	53.8+2.0s
[960/8000]	[MSE: 83.5093]	53.8+2.0s
[1000/8000]	[MSE: 82.6884]	53.8+2.0s
[1040/8000]	[MSE: 82.0191]	53.8+2.0s
[1080/8000]	[MSE: 82.3541]	53.8+2.0s
[1120/8000]	[MSE: 82.1152]	53.9+2.0s
[1160/8000]	[MSE: 82.9988]	53.8+2.0s
[1200/8000]	[MSE: 82.7778]	53.8+2.0s
[1240/8000]	[MSE: 83.7386]	53.8+2.0s
[1280/8000]	[MSE: 84.1718]	53.8+2.0s
[1320/8000]	[MSE: 84.1406]	53.8+2.0s
[1360/8000]	[MSE: 85.0731]	53.8+2.0s
[1400/8000]	[MSE: 84.9106]	53.9+2.0s
[1440/8000]	[MSE: 85.5142]	53.8+2.0s
[1480/8000]	[MSE: 85.0923]	53.8+2.0s
[1520/8000]	[MSE: 84.4335]	53.8+2.0s
[1560/8000]	[MSE: 84.0591]	53.8+2.0s
[1600/8000]	[MSE: 83.7483]	53.9+2.0s
[1640/8000]	[MSE: 82.9525]	53.8+2.0s
[1680/8000]	[MSE: 82.2571]	53.8+2.0s
[1720/8000]	[MSE: 81.9108]	53.8+2.0s
[1760/8000]	[MSE: 81.5758]	53.8+2.0s
[1800/8000]	[MSE: 81.8036]	53.9+2.0s
[1840/8000]	[MSE: 81.4960]	53.8+2.0s
[1880/8000]	[MSE: 81.4103]	53.9+2.0s
[1920/8000]	[MSE: 81.1015]	53.8+2.0s
[1960/8000]	[MSE: 81.4188]	53.8+2.0s
[2000/8000]	[MSE: 80.7290]	53.8+2.0s
[2040/8000]	[MSE: 79.8613]	53.8+2.0s
[2080/8000]	[MSE: 79.9120]	53.8+2.0s
[2120/8000]	[MSE: 79.5746]	53.8+2.0s
[2160/8000]	[MSE: 79.1874]	53.9+2.0s
[2200/8000]	[MSE: 79.2618]	53.8+2.0s
[2240/8000]	[MSE: 78.7436]	53.8+2.0s
[2280/8000]	[MSE: 78.7711]	53.8+2.0s
[2320/8000]	[MSE: 78.9689]	53.8+2.0s
[2360/8000]	[MSE: 78.9789]	53.8+2.0s
[2400/8000]	[MSE: 79.5550]	53.9+2.0s
[2440/8000]	[MSE: 79.7451]	53.9+2.0s
[2480/8000]	[MSE: 80.0935]	53.8+2.0s
[2520/8000]	[MSE: 79.7462]	53.8+2.0s
[2560/8000]	[MSE: 79.8606]	53.9+2.0s
[2600/8000]	[MSE: 79.9952]	53.8+2.0s
[2640/8000]	[MSE: 80.0526]	53.8+2.0s
[2680/8000]	[MSE: 80.1046]	53.8+2.0s
[2720/8000]	[MSE: 79.6935]	53.8+2.0s
[2760/8000]	[MSE: 79.3712]	53.8+2.0s
[2800/8000]	[MSE: 79.1392]	53.8+2.0s
[2840/8000]	[MSE: 79.2007]	53.9+2.0s
[2880/8000]	[MSE: 79.1549]	53.8+2.0s
[2920/8000]	[MSE: 79.1059]	53.9+2.0s
[2960/8000]	[MSE: 78.9467]	53.8+2.0s
[3000/8000]	[MSE: 78.8993]	53.8+2.0s
[3040/8000]	[MSE: 78.5165]	53.9+2.0s
[3080/8000]	[MSE: 78.8484]	53.9+2.0s
[3120/8000]	[MSE: 78.8868]	53.9+2.0s
[3160/8000]	[MSE: 78.5760]	53.8+2.0s
[3200/8000]	[MSE: 78.2636]	53.9+2.0s
[3240/8000]	[MSE: 78.7144]	53.9+2.0s
[3280/8000]	[MSE: 78.3806]	53.8+2.0s
[3320/8000]	[MSE: 78.1650]	53.8+2.0s
[3360/8000]	[MSE: 78.1570]	53.8+2.0s
[3400/8000]	[MSE: 78.2622]	53.8+2.0s
[3440/8000]	[MSE: 78.3555]	53.8+2.0s
[3480/8000]	[MSE: 78.1596]	53.8+2.0s
[3520/8000]	[MSE: 78.4864]	53.8+2.0s
[3560/8000]	[MSE: 78.4557]	53.9+2.0s
[3600/8000]	[MSE: 78.4057]	53.8+2.0s
[3640/8000]	[MSE: 78.7646]	53.8+2.0s
[3680/8000]	[MSE: 78.4634]	53.8+2.0s
[3720/8000]	[MSE: 78.2112]	53.8+2.0s
[3760/8000]	[MSE: 78.0599]	53.9+2.0s
[3800/8000]	[MSE: 77.8107]	53.8+2.0s
[3840/8000]	[MSE: 77.9638]	53.8+2.0s
[3880/8000]	[MSE: 78.1462]	53.8+2.0s
[3920/8000]	[MSE: 78.1967]	53.9+2.0s
[3960/8000]	[MSE: 78.2903]	53.8+2.0s
[4000/8000]	[MSE: 78.2000]	53.8+2.0s
[4040/8000]	[MSE: 77.8242]	53.8+2.0s
[4080/8000]	[MSE: 77.7087]	53.8+2.0s
[4120/8000]	[MSE: 77.7330]	53.8+2.0s
[4160/8000]	[MSE: 77.9226]	53.8+2.0s
[4200/8000]	[MSE: 77.8487]	53.8+2.0s
[4240/8000]	[MSE: 77.6159]	53.9+2.0s
[4280/8000]	[MSE: 77.3086]	53.8+2.0s
[4320/8000]	[MSE: 77.1853]	53.8+2.0s
[4360/8000]	[MSE: 77.1274]	53.8+2.0s
[4400/8000]	[MSE: 76.9016]	53.8+2.0s
[4440/8000]	[MSE: 76.6728]	53.8+2.0s
[4480/8000]	[MSE: 76.7181]	53.8+2.0s
[4520/8000]	[MSE: 76.8092]	53.9+2.0s
[4560/8000]	[MSE: 76.6676]	53.8+2.0s
[4600/8000]	[MSE: 76.4618]	53.9+2.0s
[4640/8000]	[MSE: 76.5068]	53.8+2.0s
[4680/8000]	[MSE: 76.3378]	53.8+2.0s
[4720/8000]	[MSE: 76.3637]	53.9+2.0s
[4760/8000]	[MSE: 76.1855]	53.8+2.0s
[4800/8000]	[MSE: 76.1032]	53.8+2.0s
[4840/8000]	[MSE: 76.4177]	53.8+2.0s
[4880/8000]	[MSE: 76.4946]	53.8+2.0s
[4920/8000]	[MSE: 76.3034]	53.8+2.0s
[4960/8000]	[MSE: 76.2665]	53.9+2.0s
[5000/8000]	[MSE: 76.3192]	53.8+2.0s
[5040/8000]	[MSE: 76.1655]	53.8+2.0s
[5080/8000]	[MSE: 76.1613]	53.8+2.0s
[5120/8000]	[MSE: 76.1327]	53.8+2.0s
[5160/8000]	[MSE: 76.1557]	53.8+2.0s
[5200/8000]	[MSE: 76.1276]	53.8+2.0s
[5240/8000]	[MSE: 75.9550]	53.9+2.0s
[5280/8000]	[MSE: 75.8636]	53.8+2.0s
[5320/8000]	[MSE: 75.7045]	53.8+2.0s
[5360/8000]	[MSE: 75.5999]	53.8+2.0s
[5400/8000]	[MSE: 75.3753]	53.8+2.0s
[5440/8000]	[MSE: 75.3689]	53.8+2.0s
[5480/8000]	[MSE: 75.1891]	53.8+2.0s
[5520/8000]	[MSE: 75.3794]	53.8+2.0s
[5560/8000]	[MSE: 75.4669]	53.8+2.0s
[5600/8000]	[MSE: 75.5437]	53.9+2.0s
[5640/8000]	[MSE: 75.2941]	53.8+2.0s
[5680/8000]	[MSE: 75.2397]	53.8+2.0s
[5720/8000]	[MSE: 75.2255]	53.9+2.0s
[5760/8000]	[MSE: 75.1530]	53.8+2.0s
[5800/8000]	[MSE: 75.0263]	53.9+2.0s
[5840/8000]	[MSE: 74.9469]	53.8+2.0s
[5880/8000]	[MSE: 75.1315]	53.8+2.0s
[5920/8000]	[MSE: 75.0304]	53.8+2.0s
[5960/8000]	[MSE: 74.7844]	53.7+2.0s
[6000/8000]	[MSE: 74.7904]	53.9+2.0s
[6040/8000]	[MSE: 74.8647]	53.8+2.0s
[6080/8000]	[MSE: 74.9101]	53.8+2.0s
[6120/8000]	[MSE: 74.9331]	53.8+2.0s
[6160/8000]	[MSE: 74.7049]	53.8+2.0s
[6200/8000]	[MSE: 74.5731]	53.8+2.0s
[6240/8000]	[MSE: 74.9911]	53.8+2.0s
[6280/8000]	[MSE: 74.9866]	53.8+2.0s
[6320/8000]	[MSE: 74.9087]	53.8+2.0s
[6360/8000]	[MSE: 74.7239]	53.8+2.0s
[6400/8000]	[MSE: 74.8122]	53.8+2.0s
[6440/8000]	[MSE: 74.6956]	53.8+2.0s
[6480/8000]	[MSE: 74.5117]	53.8+2.0s
[6520/8000]	[MSE: 74.3699]	53.8+2.0s
[6560/8000]	[MSE: 74.5488]	53.8+2.0s
[6600/8000]	[MSE: 74.7103]	53.8+2.0s
[6640/8000]	[MSE: 74.6989]	53.8+2.0s
[6680/8000]	[MSE: 74.6284]	53.9+2.0s
[6720/8000]	[MSE: 74.5324]	53.8+2.0s
[6760/8000]	[MSE: 74.5919]	53.8+2.0s
[6800/8000]	[MSE: 74.5461]	53.8+2.0s
[6840/8000]	[MSE: 74.3892]	53.8+2.0s
[6880/8000]	[MSE: 74.3372]	53.8+2.0s
[6920/8000]	[MSE: 74.4089]	53.8+2.0s
[6960/8000]	[MSE: 74.6282]	53.8+2.0s
[7000/8000]	[MSE: 74.7912]	53.8+2.0s
[7040/8000]	[MSE: 74.8457]	53.8+2.0s
[7080/8000]	[MSE: 75.0660]	53.8+2.0s
[7120/8000]	[MSE: 75.0687]	53.8+2.0s
[7160/8000]	[MSE: 74.9950]	53.9+2.0s
[7200/8000]	[MSE: 74.9913]	53.8+2.0s
[7240/8000]	[MSE: 74.9290]	53.7+2.0s
[7280/8000]	[MSE: 74.8396]	53.8+2.0s
[7320/8000]	[MSE: 74.6586]	53.8+2.0s
[7360/8000]	[MSE: 74.6035]	53.7+2.0s
[7400/8000]	[MSE: 74.5254]	53.8+2.0s
[7440/8000]	[MSE: 74.4549]	53.8+2.0s
[7480/8000]	[MSE: 74.5550]	53.8+2.0s
[7520/8000]	[MSE: 74.4309]	53.8+2.0s
[7560/8000]	[MSE: 74.3532]	53.8+2.0s
