Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[5344/16000]	[MSE: 149.9555]	3.3+0.1s
[5360/16000]	[MSE: 149.7925]	3.3+0.1s
[5376/16000]	[MSE: 149.5981]	3.3+0.1s
[5392/16000]	[MSE: 149.4903]	3.3+0.1s
[5408/16000]	[MSE: 149.2535]	3.3+0.1s
[5424/16000]	[MSE: 148.9116]	3.3+0.1s
[5440/16000]	[MSE: 148.8089]	3.3+0.1s
[5456/16000]	[MSE: 148.6034]	3.3+0.1s
[5472/16000]	[MSE: 148.3430]	3.3+0.1s
[5488/16000]	[MSE: 148.1437]	3.3+0.1s
[5504/16000]	[MSE: 147.8823]	3.3+0.1s
[5520/16000]	[MSE: 147.6135]	3.3+0.1s
[5536/16000]	[MSE: 147.2814]	3.3+0.1s
[5552/16000]	[MSE: 147.1735]	3.3+0.1s
[5568/16000]	[MSE: 146.8492]	3.3+0.1s
[5584/16000]	[MSE: 146.5932]	3.3+0.1s
[5600/16000]	[MSE: 146.3263]	3.3+0.1s
[5616/16000]	[MSE: 146.0432]	3.3+0.1s
[5632/16000]	[MSE: 145.7917]	3.3+0.1s
[5648/16000]	[MSE: 145.7837]	3.3+0.1s
[5664/16000]	[MSE: 145.5432]	3.3+0.1s
[5680/16000]	[MSE: 145.4202]	3.3+0.1s
[5696/16000]	[MSE: 145.2442]	3.3+0.1s
[5712/16000]	[MSE: 145.1051]	3.3+0.1s
[5728/16000]	[MSE: 144.8095]	3.3+0.1s
[5744/16000]	[MSE: 144.5630]	3.3+0.1s
[5760/16000]	[MSE: 144.2410]	3.3+0.1s
[5776/16000]	[MSE: 144.1108]	3.3+0.1s
[5792/16000]	[MSE: 144.0004]	3.3+0.1s
[5808/16000]	[MSE: 143.7031]	3.3+0.1s
[5824/16000]	[MSE: 143.5963]	3.3+0.1s
[5840/16000]	[MSE: 143.3485]	3.3+0.1s
[5856/16000]	[MSE: 143.0948]	3.3+0.1s
[5872/16000]	[MSE: 142.9419]	3.3+0.1s
[5888/16000]	[MSE: 142.8696]	3.3+0.1s
[5904/16000]	[MSE: 142.6346]	3.3+0.1s
[5920/16000]	[MSE: 142.4009]	3.3+0.1s
[5936/16000]	[MSE: 142.2203]	3.3+0.1s
[5952/16000]	[MSE: 142.0294]	3.3+0.1s
[5968/16000]	[MSE: 141.9557]	3.3+0.1s
[5984/16000]	[MSE: 141.7662]	3.3+0.1s
[6000/16000]	[MSE: 141.6208]	3.3+0.1s
[6016/16000]	[MSE: 141.4943]	3.3+0.1s
[6032/16000]	[MSE: 141.3283]	3.3+0.1s
[6048/16000]	[MSE: 141.1821]	3.3+0.1s
[6064/16000]	[MSE: 140.9737]	3.3+0.1s
[6080/16000]	[MSE: 140.9617]	3.3+0.1s
[6096/16000]	[MSE: 140.7453]	3.3+0.1s
[6112/16000]	[MSE: 140.8741]	3.3+0.1s
[6128/16000]	[MSE: 140.8874]	3.3+0.1s
[6144/16000]	[MSE: 140.6776]	3.3+0.1s
[6160/16000]	[MSE: 140.6330]	3.3+0.1s
[6176/16000]	[MSE: 140.4016]	3.3+0.1s
[6192/16000]	[MSE: 140.4637]	3.3+0.1s
[6208/16000]	[MSE: 140.3501]	3.3+0.1s
[6224/16000]	[MSE: 140.2000]	3.3+0.1s
[6240/16000]	[MSE: 139.8992]	3.3+0.1s
[6256/16000]	[MSE: 139.7569]	3.3+0.1s
[6272/16000]	[MSE: 139.4956]	3.3+0.1s
[6288/16000]	[MSE: 139.2839]	3.3+0.1s
[6304/16000]	[MSE: 139.1415]	3.3+0.1s
[6320/16000]	[MSE: 138.9217]	3.3+0.1s
[6336/16000]	[MSE: 138.7964]	3.3+0.1s
[6352/16000]	[MSE: 138.6781]	3.3+0.1s
[6368/16000]	[MSE: 138.5229]	3.3+0.1s
[6384/16000]	[MSE: 138.4510]	3.3+0.1s
[6400/16000]	[MSE: 138.6011]	3.3+0.1s
[6416/16000]	[MSE: 138.5092]	3.3+0.1s
[6432/16000]	[MSE: 138.3427]	3.3+0.1s
[6448/16000]	[MSE: 138.1280]	3.3+0.1s
[6464/16000]	[MSE: 137.9395]	3.3+0.1s
[6480/16000]	[MSE: 137.7627]	3.3+0.1s
[6496/16000]	[MSE: 137.6117]	3.3+0.1s
[6512/16000]	[MSE: 137.4794]	3.3+0.1s
[6528/16000]	[MSE: 137.3162]	3.3+0.1s
[6544/16000]	[MSE: 137.1952]	3.3+0.1s
[6560/16000]	[MSE: 136.9858]	3.3+0.1s
[6576/16000]	[MSE: 136.8026]	3.3+0.1s
