Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[5120/16000]	[MSE: 73.7516]	32.7+0.8s
[5280/16000]	[MSE: 73.8378]	32.7+0.8s
[5440/16000]	[MSE: 73.9737]	32.7+0.8s
[5600/16000]	[MSE: 73.8005]	32.7+0.8s
[5760/16000]	[MSE: 74.1181]	32.7+0.8s
[5920/16000]	[MSE: 73.8739]	32.7+0.8s
[6080/16000]	[MSE: 73.6060]	32.7+0.8s
[6240/16000]	[MSE: 73.3164]	32.7+0.8s
[6400/16000]	[MSE: 72.9411]	32.7+0.8s
[6560/16000]	[MSE: 72.8005]	32.7+0.8s
[6720/16000]	[MSE: 72.5761]	32.7+0.8s
[6880/16000]	[MSE: 72.2859]	32.7+0.8s
[7040/16000]	[MSE: 72.2648]	32.7+0.8s
[7200/16000]	[MSE: 72.0045]	32.7+0.8s
[7360/16000]	[MSE: 71.8764]	32.7+0.8s
[7520/16000]	[MSE: 71.7479]	32.7+0.8s
[7680/16000]	[MSE: 71.5379]	32.7+0.8s
[7840/16000]	[MSE: 71.6177]	32.7+0.8s
[8000/16000]	[MSE: 71.7146]	32.7+0.8s
[8160/16000]	[MSE: 71.5451]	32.7+0.8s
[8320/16000]	[MSE: 71.2614]	32.7+0.8s
[8480/16000]	[MSE: 70.9313]	32.7+0.8s
[8640/16000]	[MSE: 70.5429]	32.7+0.8s
[8800/16000]	[MSE: 70.5455]	32.7+0.8s
[8960/16000]	[MSE: 70.5109]	32.7+0.8s
[9120/16000]	[MSE: 70.8284]	32.7+0.8s
[9280/16000]	[MSE: 70.9029]	32.7+0.8s
[9440/16000]	[MSE: 70.7639]	32.7+0.8s
[9600/16000]	[MSE: 70.9027]	32.7+0.8s
[9760/16000]	[MSE: 71.2947]	32.7+0.8s
[9920/16000]	[MSE: 71.0306]	32.7+0.8s
[10080/16000]	[MSE: 70.9046]	32.7+0.8s
[10240/16000]	[MSE: 70.9798]	32.7+0.8s
[10400/16000]	[MSE: 70.9500]	32.7+0.8s
[10560/16000]	[MSE: 70.6949]	32.7+0.8s
[10720/16000]	[MSE: 70.5350]	32.7+0.8s
[10880/16000]	[MSE: 70.4314]	32.7+0.8s
[11040/16000]	[MSE: 70.4860]	32.7+0.8s
[11200/16000]	[MSE: 70.3162]	32.7+0.8s
[11360/16000]	[MSE: 70.1052]	32.7+0.8s
[11520/16000]	[MSE: 70.0806]	32.7+0.8s
[11680/16000]	[MSE: 70.2327]	32.7+0.8s
[11840/16000]	[MSE: 70.1550]	32.7+0.8s
[12000/16000]	[MSE: 70.1273]	32.7+0.8s
